version,GO_ID,GO_name,namespace,present_in_C5,C5_set_names,C5_orders,C5_full_member_counts,C5_graph_member_counts,GOA_exact_graph_member_count,direct_C5_vs_exact_GOA_mismatches,direct_C5_exact
6.0,GO:0034641,cellular nitrogen compound metabolic process,biological_process,0,,,,,547,,0
6.0,GO:0036211,protein modification process,biological_process,0,,,,,742,,0
6.0,GO:0042221,response to chemical,biological_process,1,RESPONSE_TO_CHEMICAL_STIMULUS,18177,314,186,657,665,0
6.0,GO:0043170,macromolecule metabolic process,biological_process,0,,,,,1284,,0
6.0,GO:0043226,organelle,cellular_component,0,,,,,2603,,0
6.0,GO:0043227,membrane-bounded organelle,cellular_component,0,,,,,2437,,0
6.0,GO:0043228,non-membrane-bounded organelle,cellular_component,1,NON_MEMBRANE_BOUND_ORGANELLE,17822,631,272,597,567,0
6.0,GO:0043229,intracellular organelle,cellular_component,0,,,,,2101,,0
6.0,GO:0043230,extracellular organelle,cellular_component,0,,,,,948,,0
6.0,GO:0043231,intracellular membrane-bounded organelle,cellular_component,0,,,,,1893,,0
6.0,GO:0043232,intracellular non-membrane-bounded organelle,cellular_component,1,INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE,17896,631,272,597,567,0
6.0,GO:0043234,protein complex,cellular_component,0,,,,,1080,,0
6.0,GO:0043412,macromolecule modification,biological_process,0,,,,,757,,0
6.0,GO:0043933,macromolecular complex subunit organization,biological_process,0,,,,,604,,0
6.0,GO:0044237,cellular metabolic process,biological_process,0,,,,,1522,,0
6.0,GO:0044238,primary metabolic process,biological_process,0,,,,,1486,,0
6.0,GO:0044260,cellular macromolecule metabolic process,biological_process,0,,,,,1174,,0
6.0,GO:0044267,cellular protein metabolic process,biological_process,0,,,,,758,,0
6.0,GO:0044421,extracellular region part,cellular_component,1,EXTRACELLULAR_REGION_PART,17842,338,148,1117,1039,0
6.0,GO:0044422,organelle part,cellular_component,0,,,,,1737,,0
6.0,GO:0044424,intracellular part,cellular_component,0,,,,,2929,,0
6.0,GO:0044425,membrane part,cellular_component,1,MEMBRANE_PART,17810,1670,656,726,684,0
6.0,GO:0044428,nuclear part,cellular_component,0,,,,,1149,,0
6.0,GO:0044444,cytoplasmic part,cellular_component,0,,,,,1389,,0
6.0,GO:0044446,intracellular organelle part,cellular_component,0,,,,,1697,,0
6.0,GO:0044464,cell part,cellular_component,0,,,,,3252,,0
6.0,GO:0044699,single-organism process,biological_process,0,,,,,2406,,0
6.0,GO:0044710,single-organism metabolic process,biological_process,0,,,,,820,,0
6.0,GO:0044763,single-organism cellular process,biological_process,0,,,,,2043,,0
6.0,GO:0044765,single-organism transport,biological_process,0,,,,,536,,0
6.0,GO:0044767,single-organism developmental process,biological_process,0,,,,,864,,0
6.0,GO:0044822,poly(A) RNA binding,molecular_function,1,GO_POLY_A_RNA_BINDING,17570,1170,349,339,10,0
6.0,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,0,,,,,748,,0
6.0,GO:0048518,positive regulation of biological process,biological_process,0,,,,,1829,,0
6.0,GO:0048519,negative regulation of biological process,biological_process,0,,,,,1450,,0
6.0,GO:0048522,positive regulation of cellular process,biological_process,0,,,,,1731,,0
6.0,GO:0048523,negative regulation of cellular process,biological_process,0,,,,,1378,,0
6.0,GO:0048583,regulation of response to stimulus,biological_process,1,REGULATION_OF_RESPONSE_TO_STIMULUS,18247,59,48,1164,1124,0
6.0,GO:0048584,positive regulation of response to stimulus,biological_process,1,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS|POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,12261|17953,1929|41,1112|36,702,418,0
6.0,GO:0050789,regulation of biological process,biological_process,0,,,,,2647,,0
6.0,GO:0050793,regulation of developmental process,biological_process,0,,,,,698,,0
6.0,GO:0050794,regulation of cellular process,biological_process,0,,,,,2534,,0
6.0,GO:0050896,response to stimulus,biological_process,0,,,,,1170,,0
6.0,GO:0051128,regulation of cellular component organization,biological_process,1,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,18116,125,87,746,713,0
6.0,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,0,,,,,1159,,0
6.0,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,0,,,,,773,,0
6.0,GO:0051179,localization,biological_process,0,,,,,808,,0
6.0,GO:0051234,establishment of localization,biological_process,0,,,,,668,,0
6.0,GO:0051239,regulation of multicellular organismal process,biological_process,1,REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,18401,151,103,845,812,0
6.0,GO:0051246,regulation of protein metabolic process,biological_process,1,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,18080,173,130,882,818,0
6.0,GO:0051252,regulation of RNA metabolic process,biological_process,0,,,,,959,,0
6.0,GO:0051254,positive regulation of RNA metabolic process,biological_process,0,,,,,653,,0
6.0,GO:0051716,cellular response to stimulus,biological_process,0,,,,,762,,0
6.0,GO:0060255,regulation of macromolecule metabolic process,biological_process,0,,,,,1635,,0
6.0,GO:0065007,biological regulation,biological_process,0,,,,,2793,,0
6.0,GO:0065008,regulation of biological quality,biological_process,1,REGULATION_OF_BIOLOGICAL_QUALITY,17932,419,281,880,789,0
6.0,GO:0065009,regulation of molecular function,biological_process,0,,,,,794,,0
6.0,GO:0070062,extracellular exosome,cellular_component,0,,,,,943,,0
6.0,GO:0071704,organic substance metabolic process,biological_process,0,,,,,1577,,0
6.0,GO:0071840,cellular component organization or biogenesis,biological_process,0,,,,,1227,,0
6.0,GO:0080090,regulation of primary metabolic process,biological_process,0,,,,,1626,,0
6.0,GO:0097159,organic cyclic compound binding,molecular_function,0,,,,,961,,0
6.0,GO:1901360,organic cyclic compound metabolic process,biological_process,0,,,,,542,,0
6.0,GO:1901363,heterocyclic compound binding,molecular_function,0,,,,,935,,0
6.0,GO:1902578,single-organism localization,biological_process,0,,,,,613,,0
6.0,GO:1902589,single-organism organelle organization,biological_process,0,,,,,556,,0
6.0,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,0,,,,,893,,0
6.0,GO:1903561,extracellular vesicle,cellular_component,0,,,,,948,,0
6.0,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,0,,,,,1017,,0
6.0,GO:2001141,regulation of RNA biosynthetic process,biological_process,0,,,,,900,,0
